Generation,pm,pm0,deviation,best_fitness
0,0.01,0.01,0.0,0
1,0.009,0.01,1.85714285714,3
2,0.008,0.01,1.40384615385,5
3,0.007,0.01,0.857585139319,6
4,0.006,0.01,1.08816705336,9
5,0.005,0.01,0.996370235935,11
6,0.004,0.01,0.963746223565,13
7,0.003,0.01,0.618929016189,13
8,0.002,0.01,0.498929336188,14
9,0.001,0.01,0.401869158879,15
10,0.001,0.01,0.319043693322,16
11,0.001,0.01,0.347305389222,18
12,0.001,0.01,0.25260960334,18
13,0.001,0.01,0.289490651193,20
14,0.001,0.01,0.280487804878,21
15,0.001,0.01,0.202060675444,21
16,0.001,0.01,0.28,24
17,0.001,0.01,0.195814648729,24
18,0.001,0.01,0.183712121212,25
19,0.001,0.01,0.168014375562,26
20,0.001,0.01,0.151385927505,27
21,0.001,0.01,0.108829568789,27
22,0.001,0.01,0.116872756282,28
23,0.001,0.01,0.076095311299,28
24,0.001,0.01,0.15198810851,31
25,0.001,0.01,0.153153153153,32
26,0.001,0.01,0.120840630473,32
27,0.001,0.01,0.0895471569629,32
28,0.001,0.01,0.0620643876535,32
29,0.001,0.01,0.0621177985195,33
30,0.001,0.01,0.0661649419881,34
31,0.001,0.01,0.0729613733906,35
32,0.001,0.01,0.0801080108011,36
33,0.001,0.01,0.0594467333726,36
34,0.001,0.01,0.063829787234,37
35,0.001,0.01,0.095813430739,39
36,0.001,0.01,0.0743801652893,39
37,0.001,0.01,0.0752688172043,40
38,0.001,0.01,0.0721757322176,41
39,0.001,0.01,0.0475217169136,41
40,0.001,0.01,0.0752688172043,43
41,0.001,0.01,0.0771113831089,44
42,0.001,0.01,0.0796545105566,45
43,0.001,0.01,0.0841385811926,46
44,0.001,0.01,0.0599078341014,46
45,0.001,0.01,0.0592742844264,47
46,0.001,0.01,0.0847907903476,49
47,0.001,0.01,0.0820168794633,50
48,0.001,0.01,0.0613457864572,50
49,0.001,0.01,0.0826566729128,52
50,0.001,0.01,0.0616578195182,52
51,0.001,0.01,0.0819475055099,54
52,0.001,0.01,0.0648787221455,54
53,0.001,0.01,0.0469174098488,54
54,0.001,0.01,0.0422588592003,55
55,0.001,0.01,0.043219076006,56
56,0.001,0.01,0.0657846380007,58
57,0.001,0.01,0.0553129548763,58
58,0.001,0.01,0.0384959713518,58
59,0.001,0.01,0.0409315455187,59
60,0.001,0.01,0.0617928633594,61
61,0.001,0.01,0.0482900842069,61
62,0.001,0.01,0.0690649923638,63
63,0.001,0.01,0.052807486631,63
64,0.001,0.01,0.0547132498352,64
65,0.001,0.01,0.0562235944101,65
66,0.001,0.01,0.0411661060388,65
67,0.001,0.01,0.0281556469472,65
68,0.001,0.01,0.0473659527904,67
69,0.001,0.01,0.0360290706665,67
70,0.001,0.01,0.0392786183708,68
71,0.001,0.01,0.0310841546626,68
72,0.001,0.01,0.0365029292474,69
73,0.001,0.01,0.0418216996577,70
74,0.001,0.01,0.0326006785662,70
75,0.001,0.01,0.0491038904269,72
76,0.001,0.01,0.0388111383639,72
77,0.001,0.01,0.0440503432494,73
78,0.001,0.01,0.0329701429178,73
79,0.001,0.01,0.0228387277568,73
80,0.001,0.01,0.0267795199112,74
81,0.001,0.01,0.0312113295751,75
82,0.001,0.01,0.0211027910143,75
83,0.001,0.01,0.0271658332207,76
84,0.001,0.01,0.0459970497519,78
85,0.001,0.01,0.0376479978715,78
86,0.001,0.01,0.030519223147,78
87,0.001,0.01,0.0216110019646,78
88,0.001,0.01,0.0150963040083,78
89,0.001,0.01,0.0186976144423,79
90,0.001,0.01,0.0117827868852,79
91,0.001,0.01,0.0200178503124,80
92,0.001,0.01,0.0264858699785,81
93,0.001,0.01,0.0201511335013,81
94,0.001,0.01,0.0132599449587,81
95,0.002,0.01,0.00934579439252,81
96,0.001,0.01,0.0180012414649,82
97,0.001,0.01,0.0221674876847,83
98,0.001,0.01,0.0291595197256,84
99,0.001,0.01,0.0212765957447,84
100,0.001,0.01,0.0281843474053,85
101,0.001,0.01,0.0195513973852,85
102,0.001,0.01,0.025518721679,86
103,0.001,0.01,0.0415433779145,88
104,0.001,0.01,0.0352941176471,88
105,0.001,0.01,0.039962608086,89
106,0.001,0.01,0.0558069381599,91
107,0.001,0.01,0.0458567980692,91
108,0.001,0.01,0.03668261563,91
109,0.001,0.01,0.0272039733604,91
110,0.001,0.01,0.0200650151328,91
111,0.002,0.01,0.00965272384334,91
112,0.001,0.01,0.0141093474427,92
113,0.001,0.01,0.010101010101,92
114,0.002,0.01,0.00855075641307,92
115,0.001,0.01,0.0167267956707,93
116,0.001,0.01,0.0127409343352,93
117,0.001,0.01,0.0177566045907,94
118,0.001,0.01,0.0139143565958,94
119,0.002,0.01,0.00945017182131,94
120,0.003,0.01,0.00771869639794,94
121,0.002,0.01,0.0156082959162,95
122,0.001,0.01,0.0213852537504,96
123,0.001,0.01,0.018675721562,96
124,0.001,0.01,0.0155506188512,96
125,0.001,0.01,0.0104199557941,96
126,0.001,0.01,0.0180520570949,97
127,0.001,0.01,0.0153878362818,97
128,0.001,0.01,0.0204081632653,98
129,0.001,0.01,0.0198771984598,98
130,0.001,0.01,0.018711018711,98
131,0.001,0.01,0.0170195101702,98
132,0.001,0.01,0.024208566108,99
133,0.001,0.01,0.0182042579451,99
134,0.001,0.01,0.0148641722194,99
135,0.002,0.01,0.00979192166463,99
136,0.003,0.01,0.00804398737399,99
137,0.004,0.01,0.00589311115627,99
138,0.005,0.01,0.00324280502635,99
139,0.006,0.01,0.0,99
140,0.007,0.01,0.00999899000101,100
141,0.008,0.01,0.00999899000101,100
142,0.009,0.01,0.00999899000101,100
143,0.01,0.01,0.00989699050697,100
144,0.011,0.01,0.00969305331179,100
145,0.012,0.01,0.00959111559818,100
146,0.013,0.01,0.00959111559818,100
147,0.014,0.01,0.00897992129957,100
148,0.015,0.01,0.00908173562059,100
149,0.016,0.01,0.00969305331179,100
150,0.015,0.01,0.010713563776,100
151,0.016,0.01,0.00999899000101,100
152,0.017,0.01,0.00908173562059,100
153,0.016,0.01,0.0103051121439,100
154,0.015,0.01,0.0108157282927,100
155,0.014,0.01,0.010101010101,100
156,0.015,0.01,0.00877635428226,100
157,0.016,0.01,0.00806451612903,100
158,0.017,0.01,0.00765820233777,100
159,0.018,0.01,0.00816614578082,100
160,0.019,0.01,0.0082677959266,100
161,0.02,0.01,0.00928542591845,100
162,0.021,0.01,0.00948919846558,100
163,0.02,0.01,0.010713563776,100
164,0.019,0.01,0.0114291493881,100
165,0.018,0.01,0.0114291493881,100
166,0.017,0.01,0.0119409026513,100
167,0.016,0.01,0.0120433154539,100
168,0.015,0.01,0.0118385105737,100
169,0.014,0.01,0.010611419909,100
170,0.015,0.01,0.0082677959266,100
171,0.016,0.01,0.00755667506297,100
172,0.017,0.01,0.00654252642174,100
173,0.018,0.01,0.00704934541793,100
174,0.019,0.01,0.00765820233777,100
175,0.02,0.01,0.00796290696502,100
176,0.019,0.01,0.0112245929821,100
177,0.018,0.01,0.0118385105737,100
178,0.017,0.01,0.0116337885685,100
179,0.016,0.01,0.0114291493881,100
180,0.015,0.01,0.0111223458038,100
181,0.014,0.01,0.010101010101,100
182,0.015,0.01,0.00979501161264,100
183,0.016,0.01,0.00897992129957,100
184,0.017,0.01,0.00836946657255,100
185,0.018,0.01,0.00745516824501,100
186,0.019,0.01,0.00735368187771,100
187,0.02,0.01,0.00775975007558,100
188,0.021,0.01,0.0088781275222,100
189,0.02,0.01,0.0108157282927,100
190,0.019,0.01,0.0116337885685,100
191,0.018,0.01,0.012350678275,100
192,0.017,0.01,0.0127607859024,100
193,0.016,0.01,0.0138902970699,100
194,0.015,0.01,0.0138902970699,100
195,0.014,0.01,0.0118385105737,100
196,0.015,0.01,0.0088781275222,100
197,0.016,0.01,0.00725221595488,100
198,0.017,0.01,0.00765820233777,100
199,0.018,0.01,0.00775975007558,100
200,0.019,0.01,0.00836946657255,100
